UniqueCarrier,FlightNum,Year,Month,DayofMonth,Origin,Dest,Distance
XE,4263,2011,10,10,IAH,OMA,781
WN,796,2011,10,3,HOU,STL,687
MQ,3210,2011,8,8,HOU,DFW,247
XE,2280,2011,7,17,IAH,PNS,489
WN,12,2011,9,19,HOU,DAL,239
UA,855,2011,12,12,IAH,SFO,1635
XE,2026,2011,6,30,IAH,STL,668
XE,2346,2011,7,31,IAH,HSV,595
WN,406,2011,11,29,HOU,LAS,1235
CO,1268,2011,11,15,IAH,PHL,1325
WN,1662,2011,3,2,HOU,JAN,359
XE,2156,2011,4,2,IAH,GRR,1042
WN,35,2011,3,10,HOU,TPA,781
XE,2481,2011,8,7,IAH,CRP,201
CO,1644,2011,4,13,IAH,SMF,1609
XE,4315,2011,10,14,IAH,VPS,528
CO,1417,2011,6,15,IAH,PIT,1117
OO,2062,2011,8,27,IAH,PIT,1117
XE,2277,2011,1,17,IAH,BRO,308
CO,1477,2011,9,7,IAH,PBI,956
OO,1153,2011,5,31,IAH,OMA,781
XE,2425,2011,8,19,IAH,BRO,308
XE,2591,2011,2,24,IAH,DAL,217
OO,5185,2011,10,11,IAH,RSW,861
OO,5185,2011,12,22,IAH,MCI,643
XE,2280,2011,8,14,IAH,PNS,489
OO,1168,2011,8,13,IAH,PIT,1117
CO,1474,2011,7,23,IAH,DCA,1208
OO,1117,2011,5,10,IAH,CVG,871
CO,1821,2011,1,2,IAH,SNA,1347
DL,1675,2011,12,5,IAH,ATL,689
XE,2381,2011,2,26,IAH,OMA,781
XE,2773,2011,3,29,IAH,JAN,351
WN,1021,2011,9,9,HOU,SAT,192
XE,2773,2011,6,25,IAH,JAN,351
OO,1176,2011,7,1,IAH,RDU,1042
OO,4497,2011,8,7,IAH,SLC,1195
XE,4607,2011,11,3,IAH,TYS,771
OO,1190,2011,6,18,IAH,OMA,781
XE,4263,2011,10,29,IAH,MAF,429
CO,1832,2011,6,29,IAH,LGA,1416
EV,5386,2011,10,26,IAH,DTW,1075
WN,287,2011,11,3,HOU,FLL,957
XE,3004,2011,6,13,IAH,MKE,984
FL,290,2011,3,24,HOU,ATL,696
CO,1718,2011,12,31,IAH,EWR,1400
CO,752,2011,1,2,IAH,SLC,1195
XE,2355,2011,9,26,IAH,BNA,657
CO,128,2011,2,15,IAH,MSY,305
XE,2920,2011,7,4,IAH,XNA,438
CO,1840,2011,3,14,IAH,MCO,853
XE,2481,2011,8,5,IAH,CRP,201
WN,1684,2011,12,13,HOU,AUS,148
WN,3404,2011,1,8,HOU,LAS,1235
XE,2916,2011,7,12,IAH,OMA,781
CO,1714,2011,9,11,IAH,SMF,1609
CO,1448,2011,2,20,IAH,FLL,965
OO,4484,2011,8,17,IAH,SLC,1195
CO,1472,2011,11,5,IAH,PHL,1325
OO,1123,2011,4,8,IAH,COS,809
WN,2857,2011,3,1,HOU,BNA,670
CO,137,2011,7,28,IAH,LAX,1379
XE,3078,2011,6,15,IAH,RIC,1157
CO,1882,2011,7,13,IAH,SAN,1303
CO,559,2011,6,27,IAH,SNA,1347
XE,4601,2011,12,10,IAH,GSP,837
CO,776,2011,5,15,IAH,PHL,1324
WN,47,2011,5,9,HOU,FLL,957
YV,2782,2011,4,26,IAH,CLT,913
XE,2245,2011,9,8,IAH,TUL,429
AA,1534,2011,8,11,IAH,DFW,224
WN,195,2011,2,11,HOU,CRP,187
OO,2023,2011,8,28,IAH,OKC,395
XE,2213,2011,1,21,IAH,XNA,438
CO,1497,2011,9,29,IAH,MSY,305
OO,1139,2011,5,1,IAH,OMA,781
XE,2492,2011,9,22,IAH,RDU,1042
OO,5807,2011,8,28,IAH,ATL,689
WN,32,2011,5,27,HOU,DAL,239
CO,775,2011,5,15,IAH,ATL,689
CO,146,2011,3,10,IAH,ORD,925
XE,2468,2011,9,20,IAH,MSP,1034
WN,41,2011,12,19,HOU,BNA,670
CO,1407,2011,8,26,IAH,SJC,1608
XE,2117,2011,9,29,IAH,CRP,201
WN,3744,2011,6,28,HOU,CRP,187
MQ,3719,2011,10,6,IAH,LAX,1379
WN,841,2011,12,23,HOU,JAN,359
AA,466,2011,10,16,IAH,MIA,964
WN,1359,2011,12,4,HOU,JAN,359
CO,1589,2011,10,20,IAH,ATL,689
CO,1873,2011,3,26,IAH,MCO,853
XE,3005,2011,7,1,IAH,CRP,201
XE,2212,2011,5,24,IAH,BTR,253
WN,2511,2011,11,2,HOU,AUS,148
CO,1597,2011,12,8,IAH,ONT,1334
OO,1101,2011,3,1,IAH,ABQ,744
DL,944,2011,5,24,IAH,ATL,689
XE,2573,2011,7,2,IAH,BNA,657
US,362,2011,3,10,IAH,PHX,1009
XE,4509,2011,12,12,IAH,RIC,1157
CO,786,2011,3,30,IAH,MCO,853
XE,2515,2011,7,10,IAH,HRL,295
XE,2060,2011,2,15,IAH,CVG,871
XE,2916,2011,4,1,IAH,OMA,781
XE,4528,2011,12,2,IAH,JAX,817
MQ,3859,2011,3,19,IAH,ORD,925
CO,206,2011,3,5,IAH,TPA,787
WN,28,2011,10,11,HOU,DAL,239
WN,3465,2011,4,23,HOU,AUS,148
XE,2249,2011,1,20,IAH,MEM,469
WN,1706,2011,5,28,HOU,DAL,239
XE,2474,2011,3,12,IAH,BNA,657
CO,1693,2011,9,11,IAH,ATL,689
WN,677,2011,7,29,HOU,BWI,1246
XE,2058,2011,6,8,IAH,CRP,201
XE,2907,2011,5,9,IAH,LFT,201
XE,3033,2011,2,24,IAH,AMA,519
CO,423,2011,1,31,IAH,MSY,305
XE,2612,2011,8,30,IAH,CVG,871
WN,1179,2011,3,24,HOU,MSY,303
