This data includes flights data...
Be careful when parsing columns...

Table's columns are:
 1. UniqueCarrier  ~ carrier
 2. FlightNum ~ number of flight
 3. Date ~ date of flight
 4. Origin ~ origin airport
 5. Dest ~ destination airport
 6. Distance ~ distance flown in miles
 
Data below:
WN|2857|NA|HOU|BNA|NA  # 1st row
EV|5135|NA|IAH|DTW|NA  # 2nd row
XE|2493|NA|IAH|ICT|NA  # 3rd row
CO|426|NA|IAH|BWI|NA   # ...
CO|150|NA|IAH|ONT|NA
CO|458|NA|IAH|DCA|NA
WN|1709|NA|HOU|JAN|NA
WN|985|NA|HOU|PHL|NA
XE|3038|NA|IAH|BNA|NA
WN|2389|NA|HOU|ELP|NA
CO|1511|NA|IAH|SNA|NA
CO|510|NA|IAH|EWR|NA
CO|1272|NA|IAH|AUS|NA
CO|755|NA|IAH|ATL|NA
MQ|2870|NA|HOU|DFW|NA
CO|1573|NA|IAH|SJU|NA
WN|1178|NA|HOU|PHX|NA
XE|2568|NA|IAH|RIC|NA
WN|50|NA|HOU|DAL|NA
CO|586|NA|IAH|MCO|NA
CO|1492|NA|IAH|CMH|NA
XE|4635|NA|IAH|OMA|NA
XE|2418|NA|IAH|LCH|NA
CO|170|NA|IAH|SFO|NA
CO|210|NA|IAH|EWR|NA
XE|2389|NA|IAH|IND|NA
CO|632|NA|IAH|LGA|NA
OO|5195|NA|IAH|OMA|NA
XE|2336|NA|IAH|ICT|NA
CO|532|NA|IAH|LGA|NA
US|644|NA|IAH|PHX|NA
CO|1776|NA|IAH|PHL|NA
XE|2041|NA|IAH|MKE|NA
XE|2455|NA|IAH|STL|NA
CO|1540|NA|IAH|EWR|NA
XE|2572|NA|IAH|CHS|NA
MQ|3859|NA|IAH|ORD|NA
CO|511|NA|IAH|MFE|NA
FL|294|NA|HOU|ATL|NA
XE|3016|NA|IAH|VPS|NA
WN|887|NA|HOU|SAT|NA
WN|2103|NA|HOU|LAS|NA
WN|1104|NA|HOU|ELP|NA
OO|1179|NA|IAH|MKE|NA
MQ|2958|NA|HOU|DFW|NA
CO|1676|NA|IAH|PHL|NA
WN|2106|NA|HOU|MSY|NA
OO|5188|NA|IAH|DFW|NA
XE|4562|NA|IAH|CRP|NA
WN|492|NA|HOU|ABQ|NA
CO|1725|NA|IAH|SEA|NA
OO|1152|NA|IAH|MCI|NA
WN|295|NA|HOU|HRL|NA
MQ|3210|NA|HOU|DFW|NA
CO|1826|NA|IAH|SEA|NA
XE|3002|NA|IAH|BNA|NA
CO|1459|NA|IAH|SNA|NA
WN|455|NA|HOU|PHX|NA
XE|2980|NA|IAH|TYS|NA
CO|744|NA|IAH|CLE|NA
XE|2479|NA|IAH|DSM|NA
WN|2660|NA|HOU|DEN|NA
CO|1707|NA|IAH|PHX|NA
XE|2386|NA|IAH|GSO|NA
XE|2522|NA|IAH|MTJ|NA
